=== RESULTADO DEL ANALISIS LEXICO ===

TOKENS RECONOCIDOS:
Linea 1: APERTURA_PHP -> '<?php'
Linea 40: IGUALDAD_ESTRICTA -> '==='
Linea 40: ENTERO -> '2'
Linea 40: PUNTO_COMA -> ';'
Linea 43: VARIABLE -> '$tieneDni'
Linea 43: ASIGNACION -> '='
Linea 43: BOOLEANO -> 'true'
Linea 43: PUNTO_COMA -> ';'
Linea 44: VARIABLE -> '$esMayorYTieneDni'
Linea 44: ASIGNACION -> '='
Linea 44: VARIABLE -> '$esMayor'
Linea 44: AND -> '&&'
Linea 44: VARIABLE -> '$tieneDni'
Linea 44: PUNTO_COMA -> ';'
Linea 45: VARIABLE -> '$esVipOAdmin'
Linea 45: ASIGNACION -> '='
Linea 45: BOOLEANO -> 'false'
Linea 45: OR -> '||'
Linea 45: VARIABLE -> '$tieneDni'
Linea 45: PUNTO_COMA -> ';'
Linea 48: VARIABLE -> '$contador'
Linea 48: ASIGNACION -> '='
Linea 48: ENTERO -> '0'
Linea 48: PUNTO_COMA -> ';'
Linea 49: WHILE -> 'while'
Linea 49: PAR_IZQ -> '('
Linea 49: VARIABLE -> '$contador'
Linea 49: MENOR -> '<'
Linea 49: ENTERO -> '3'
Linea 49: PAR_DER -> ')'
Linea 49: LLAVE_IZQ -> '{'
Linea 50: VARIABLE -> '$contador'
Linea 50: SUMA_ASIG -> '+='
Linea 50: ENTERO -> '1'
Linea 50: PUNTO_COMA -> ';'
Linea 51: LLAVE_DER -> '}'
Linea 54: ID -> 'saludar'
Linea 54: PAR_IZQ -> '('
Linea 54: CADENA -> '"Diego"'
Linea 54: PAR_DER -> ')'
Linea 54: PUNTO_COMA -> ';'
Linea 55: ID -> 'saludar'
Linea 55: PAR_IZQ -> '('
Linea 55: PAR_DER -> ')'
Linea 55: PUNTO_COMA -> ';'
Linea 56: CIERRE_PHP -> '?>'
